,0
0,-7.039732521635193
1,-7.051256231626851
2,-7.062614992106906
3,-7.073811992181972
4,-7.084850321131905
5,-7.095732974053542
6,-7.106462856848865
7,-7.117042790657891
8,-7.127475515823485
9,-7.137763695462772
10,-7.147909918709289
11,-7.157916703679396
12,-7.167786500207633
13,-7.177521692388335
14,-7.187124600953679
15,-7.196597485513167
16,-7.205942546674425
17,-7.215161928061514
18,-7.224257718243662
19,-7.233231952584569
20,-7.242086615020515
21,-7.250823639773474
22,-7.2594449130044625
23,-7.267952274410871
24,-7.276347518771095
25,-7.284632397438732
26,-7.2928086197885245
27,-7.300877854615644
28,-7.308841731489564
29,-7.316701842063829
30,-7.324459741342756
31,-7.3321169488234235
32,-7.3396749500027045
33,-7.347135197045642
34,-7.354499110198154
35,-7.361768078776799
36,-7.368943462196343
37,-7.376026590960588
38,-7.383018767617359
39,-7.389921267678737
40,-7.39673534050733
41,-7.403462210169553
42,-7.410103076257004
43,-7.416659114676864
44,-7.4231314784121585
45,-7.429521298253025
46,-7.435829683499926
47,-7.442057722639625
48,-7.44820648399501
49,-7.454277016349668
50,-7.460270349547964
51,-7.466187495071871
52,-7.47202944659492
53,-7.47779718051465
54,-7.483491656463908
55,-7.489113817802242
56,-7.494664592087731
57,-7.500144891530388
58,-7.505555613427721
59,-7.510897640583069
60,-7.516171841707518
61,-7.521379071805896
62,-7.526520172547666
63,-7.531595972623201
64,-7.536607288086101
65,-7.541554922682019
66,-7.5464396681647585
67,-7.551262304599713
68,-7.556023600655779
69,-7.560724313885599
70,-7.56536519099506
71,-7.569946968102265
72,-7.5744703709862575
73,-7.578936115326371
74,-7.583344907491456
75,-7.5876974425575625
76,-7.5919944077753385
77,-7.596236480637389
78,-7.60042432960088
79,-7.604558614276446
80,-7.608639984830732
81,-7.612669085237728
82,-7.616646548893801
83,-7.620573001775766
84,-7.6244490618562
85,-7.628275339251639
86,-7.632052436365659
87,-7.635780948028003
88,-7.639461461629695
89,-7.64309455725303
90,-7.646680807796265
91,-7.650220779093128
92,-7.653715030027895
93,-7.657164112646218
94,-7.660568572262142
95,-7.663928948590936
96,-7.667245771737473
97,-7.670519568437616
98,-7.673750857068387
99,-7.676940152819723
100,-7.680087961639243
101,-7.683194784426711
102,-7.686261116086558
103,-7.689287445606979
104,-7.6922742561368365
105,-7.695222025060002
106,-7.698131224067724
107,-7.701002319228812
108,-7.703835771058007
109,-7.7066320345824275
110,-7.709391559406287
111,-7.712114789773969
112,-7.714802164631566
113,-7.717454117686956
114,-7.720071077301721
115,-7.722653467199841
116,-7.725201705574147
117,-7.727716205753394
118,-7.73019737610957
119,-7.732645620110771
120,-7.735061336373213
121,-7.7374449189358305
122,-7.739796756418295
123,-7.742117233405696
124,-7.744406729610053
125,-7.746665620139318
126,-7.748894275544856
127,-7.751093061868394
128,-7.75326234068825
129,-7.755402469165305
130,-7.7575138000883275
131,-7.759596681918801
132,-7.761651458835529
133,-7.763678470778675
134,-7.765678053493506
135,-7.767650538573799
136,-7.769596253504903
137,-7.771515521706516
138,-7.773408662575143
139,-7.775275991526382
140,-7.777117820036799
141,-7.778934455685709
142,-7.780726202196678
143,-7.782493359478707
144,-7.784236223667426
145,-7.785955087165795
146,-7.787650238684897
147,-7.78932196328431
148,-7.790970542412401
149,-7.792596253946441
150,-7.794199372232457
151,-7.795780168124969
152,-7.797338909026635
153,-7.798875858927408
154,-7.800391278443822
155,-7.801885424858005
156,-7.803358552156392
157,-7.804810911068413
158,-7.8062427491048725
159,-7.80765431059618
160,-7.809045836730405
161,-7.810417565591061
